GM_NAAM,GM_CODE,OuderRegioCode,GrootOuderRegioCode,total_votes,VVD,Average_House_Price,Average_Income,Population_Density,Population_Increase
Moerdijk,GM1709,K17,P30,22856,4017,272.9,26.0,234,-50
Oisterwijk,GM0824,K17,P30,21220,5084,415.8,29.1,406,-73
Oosterhout,GM0826,K17,P30,33687,6738,307.4,26.0,791,-117
Roosendaal,GM1674,K17,P30,41509,7743,257.3,24.6,725,-208
Rucphen,GM0840,K17,P30,14231,1899,290.1,24.0,362,-110
Steenbergen,GM0851,K17,P30,14487,2554,250.8,25.4,166,-58
Tilburg,GM0855,K17,P30,118125,18029,265.3,23.6,1783,27
Waalwijk,GM0867,K17,P30,28522,5036,289.6,25.1,765,-43
Woensdrecht,GM0873,K17,P30,12441,2418,282.4,25.6,241,-69
Zundert,GM0879,K17,P30,13873,2840,313.7,25.6,185,-74
Asten,GM0743,K18,P30,11004,2193,334.2,24.8,243,-31
Bergeijk,GM1724,K18,P30,12522,2386,335.6,26.2,187,-27
Bernheze,GM1721,K18,P30,20644,3960,327.8,25.6,353,-30
Best,GM0753,K18,P30,18758,3927,341.0,27.8,903,14
Bladel,GM1728,K18,P30,13470,2547,334.3,25.3,275,-20
Boekel,GM0755,K18,P30,7135,1223,315.9,23.6,320,15
Boxtel,GM0757,K18,P30,20176,3354,337.6,25.3,480,-111
Cranendonck,GM1706,K18,P30,13217,2419,283.7,25.5,270,-29
Deurne,GM0762,K18,P30,20753,3514,298.0,24.3,279,-70
Eersel,GM0770,K18,P30,12979,2693,322.5,28.1,240,-6
Eindhoven,GM0772,K18,P30,117774,16861,308.8,26.7,2708,86
Geldrop-Mierlo,GM1771,K18,P30,24642,4116,298.9,25.9,1294,-24
Gemert-Bakel,GM1652,K18,P30,19118,3036,305.3,24.2,254,11
Heeze-Leende,GM1658,K18,P30,11108,2440,353.3,29.2,158,-49
Helmond,GM0794,K18,P30,48967,8098,286.8,23.5,1758,75
Heusden,GM0797,K18,P30,28181,5507,330.9,26.0,578,23
Laarbeek,GM1659,K18,P30,14686,2747,314.1,24.9,415,-6
Land van Cuijk,GM1982,K18,P30,59599,10369,295.56,24.8,266,-103
Maashorst,GM1991,K18,P30,36687,7039,314.8,25.05,425,-55
Meierijstad,GM1948,K18,P30,51725,9477,326.4,25.6,449,21
Nuenen Gerwen en Nederwetten,GM0820,K18,P30,15996,3500,375.5,30.6,708,-30
Oirschot,GM0823,K18,P30,12804,2495,366.3,27.2,187,-34
Oss,GM0828,K18,P30,55769,8640,264.8,24.7,576,-7
Reusel-De Mierden,GM1667,K18,P30,8445,1506,338.7,25.4,171,44
's-Hertogenbosch,GM0796,K18,P30,95833,16837,333.2,27.4,1430,58
Sint-Michielsgestel,GM0845,K18,P30,19345,3776,392.0,27.7,510,18
Someren,GM0847,K18,P30,12630,2524,318.0,24.6,246,41
Son en Breugel,GM0848,K18,P30,11284,2566,400.3,29.7,685,-23
Valkenswaard,GM0858,K18,P30,19674,3680,302.2,26.1,569,-119
Veldhoven,GM0861,K18,P30,27354,5656,351.7,28.3,1446,-62
Vught,GM0865,K18,P30,20271,4757,449.6,31.5,530,-86
Waalre,GM0866,K18,P30,11153,2527,434.3,32.9,788,-39
Beek,GM0888,K19,P31,10222,1551,231.4,26.4,751,-59
Beekdaelen,GM1954,K19,P31,22874,3095,248.9,26.1,459,-193
Beesel,GM0889,K19,P31,8106,1107,233.4,23.4,481,-14
Bergen (L),GM0893,K19,P31,8273,1139,240.0,23.7,127,-48
Brunssum,GM0899,K19,P31,15588,1591,174.2,22.5,1605,-187
Echt-Susteren,GM1711,K19,P31,19959,2598,241.3,25.3,308,-191
Eijsden-Margraten,GM1903,K19,P31,16892,2906,322.2,27.5,333,5
Gennep,GM0907,K19,P31,10910,1686,270.2,23.8,362,-74
Gulpen-Wittem,GM1729,K19,P31,9610,1269,266.6,25.8,194,-91
Heerlen,GM0917,K19,P31,44987,4432,182.3,22.6,1934,-490
Horst aan de Maas,GM1507,K19,P31,27346,4412,270.2,24.8,228,-56
Kerkrade,GM0928,K19,P31,23032,2244,181.7,21.9,2069,-311
Landgraaf,GM0882,K19,P31,21806,2244,208.8,23.6,1506,-174
Leudal,GM1640,K19,P31,22711,3434,256.0,25.5,221,-147
Maasgouw,GM1641,K19,P31,15126,2379,254.9,26.2,526,-160
Maastricht,GM0935,K19,P31,63185,8548,283.5,24.2,2172,-508
Meerssen,GM0938,K19,P31,12082,1926,300.2,28.3,695,-114
Mook en Middelaar,GM0944,K19,P31,5710,1055,339.0,30.0,459,-6
Nederweert,GM0946,K19,P31,11014,1687,283.7,24.7,173,-21
Peel en Maas,GM1894,K19,P31,28145,4424,279.7,24.3,278,-6
Roerdalen,GM1669,K19,P31,12639,1645,242.1,25.1,233,-60
Roermond,GM0957,K19,P31,31851,4782,251.2,24.3,976,-71
Simpelveld,GM0965,K19,P31,6431,755,227.4,24.7,650,-39
Sittard-Geleen,GM1883,K19,P31,53905,6854,218.2,24.9,1167,-343
Stein,GM0971,K19,P31,16041,1828,236.2,25.1,1186,-146
Vaals,GM0981,K19,P31,4277,507,228.7,23.5,424,-92
Valkenburg aan de Geul,GM0994,K19,P31,10806,1827,275.7,26.5,440,-115
Venlo,GM0983,K19,P31,55290,7706,245.6,23.2,823,-154
Venray,GM0984,K19,P31,26052,4241,258.4,24.5,269,-55
Voerendaal,GM0986,K19,P31,8235,1259,274.7,27.1,394,-46
Weert,GM0988,K19,P31,29948,5142,275.5,24.9,483,-133
